product_url,color,size,width,brand_name_en,model_name,classification,purchaseCount,avgRating,qty
https://www.lenskart.com/lenskart-air-la-e16169-c3-eyeglasses.html,Grey,Medium,136 mm,Lenskart Air,LA E16169,eyeframe,2096,0.0,1209
https://www.lenskart.com/silver-black-full-rim-square-john-jacobs-jj-tints-jj-s13146-c1-polarized-sunglasses.html,Silver,Medium,137 mm,John Jacobs,JJ S13146,sunglasses,12489,4.55,246
https://www.lenskart.com/vincent-chase-vc-e13789-c2-eyeglasses.html,Black,Medium,136 mm,Vincent Chase,VC E13789,eyeframe,31293,4.65,105
https://www.lenskart.com/lenskart-air-la-e15317-c2-eyeglasses.html,Grey,Medium,134 mm,Lenskart Air,LA E15317,eyeframe,5965,5.0,1287
https://www.lenskart.com/john-jacobs-jj-e10007-c9-rectangle-eyeglasses.html,Black,Narrow,130 mm,John Jacobs,JJ E10007,eyeframe,12644,4.15,922
https://www.lenskart.com/john-jacobs-jj-e13105-c10-eyeglasses.html,Gunmetal,Wide,138 mm,John Jacobs,JJ E13105,eyeframe,2642,4.5,2014
https://www.lenskart.com/john-jacobs-jj-s12472-c1-sunglasses.html,Gold,Medium,137 mm,John Jacobs,JJ S12472,sunglasses,11322,4.3,3290
https://www.lenskart.com/hooper-hp-e15083l-c9-eyeglasses.html,White,8-12 yrs,125 mm,Hooper,HP E15083L,eyeframe,542,0.0,956
https://www.lenskart.com/john-jacobs-jj-s12432-c2-sunglasses.html,Transparent,Wide,140 mm,John Jacobs,JJ S12432,sunglasses,11560,4.4,675
https://www.lenskart.com/black-full-rim-rectangle-thinoptics-go-reader-glasses-with-case-reading-eyeglasses-only-for-2-50-power.html,Black,Wide,139 mm,ThinOptics,Go-Reader Glasses With Case,non_power_reading,37930,4.2,434
https://www.lenskart.com/vincent-chase-vc-s11164--w-c1-sunglasses.html,Black,Medium,138 mm,Vincent Chase Polarized,VC S11164-M,sunglasses,2252,0.0,410
https://www.lenskart.com/john-jacobs-jj-s16498-c1-sunglasses.html,Black,Extra Wide,143 mm,John Jacobs,JJ S16498,sunglasses,1119,0.0,87
https://www.lenskart.com/john-jacobs-jj-s13077-c2-sunglasses.html,Gunmetal,Extra Wide,142 mm,John Jacobs,JJ S13077,sunglasses,7746,0.0,715
https://www.lenskart.com/vincent-chase-vc-e16665-c1-eyeglasses.html,Orange,Medium,137 mm,Vincent Chase,VC E16665,eyeframe,562,0.0,1311
https://www.lenskart.com/grey-transparent-full-rim-wayfarer-medium-size-50-john-jacobs-bond-street-jj-e10004-c5-eyeglasses.html,Black,Narrow,133 mm,John Jacobs,JJ E10004,eyeframe,38296,4.4,2204
https://www.lenskart.com/vincent-chase-vc-s14493-c2-sunglasses.html,Gold,Medium,138 mm,Vincent Chase Online,VC S14493,sunglasses,9972,4.75,115
https://www.lenskart.com/vincent-chase-vc-e-16670-c1-eyeglasses.html,Yellow,Narrow,132 mm,Vincent Chase,VC E16670,eyeframe,543,0.0,1210
https://www.lenskart.com/lenskart-blu-lb-e14284-c2-eyeglasses.html,Green,Wide,138 mm,Lenskart Blu,LB E14284,non_power_reading,3036,4.4,275
https://www.lenskart.com/john-jacobs-jj-e15289-c1-eyeglasses.html,Gold Black,Medium,136 mm,John Jacobs,JJ E15289,eyeframe,4492,0.0,652
https://www.lenskart.com/lenskart-air-la-e16173-c1-eyeglasses.html,Purple,Medium,134 mm,Lenskart Air,LA E16173,eyeframe,2075,0.0,20
https://www.lenskart.com/lenskart-la-e15417-n-c24--eyeglasses.html,Black,Narrow,134 mm,Lenskart Hustlr,LA E15417-N,eyeframe,619,0.0,7575
https://www.lenskart.com/john-jacobs-jj-e12710-c4-eyeglasses.html,Silver,Wide,141 mm,John Jacobs,JJ E12710,eyeframe,2979,4.4,1198
https://www.lenskart.com/john-jacobs-jj-e11676-c3-eyeglasses.html,Black,Wide,140 mm,John Jacobs,JJ E11676,eyeframe,19361,4.35,877
https://www.lenskart.com/vincent-chase-vc-s15372-c1-sunglasses.html,Silver,Medium,138 mm,Vincent Chase Polarized,VC S15372,sunglasses,8004,5.0,2398
https://www.lenskart.com/vincent-chase-vc-s15747-c1-sunglasses.html,Silver,Wide,142 mm,Vincent Chase Polarized,VC S15747,sunglasses,2004,0.0,887
https://www.lenskart.com/john-jacobs-jj-s16499-c1-sunglasses.html,Brown,Extra Wide,144 mm,John Jacobs,JJ S16499,sunglasses,1078,0.0,113
https://www.lenskart.com/john-jacobs-full-rim-aviator-jj-s12504-c2-sunglasses.html,Gold,Wide,138 mm,John Jacobs,JJ S12504,sunglasses,7859,4.8,501
https://www.lenskart.com/john-jacobs-jj-e13005-c3-eyeglasses.html,Transparent,Narrow,130 mm,John Jacobs,JJ E13005,eyeframe,16516,4.55,290
https://www.lenskart.com/vincent-chase-vc-s-12911-c3-sunglasses.html,Grey,Narrow,135 mm,Vincent Chase Online,VC S12911,sunglasses,6237,4.55,1745
https://www.lenskart.com/lenskart-air-la-e11411/n-c5-eyeglasses.html,Grey,Narrow,132 mm,Lenskart Air,LA E11411,eyeframe,2917,0.0,2313
https://www.lenskart.com/vincent-chase-vc-e16237-c1-eyeglasses.html,Blue,Wide,138 mm,Vincent Chase,VC E16237,eyeframe,1297,0.0,1641
https://www.lenskart.com/lenskart-air-la-e16239-c2-eyeglasses.html,Brown,Wide,139 mm,Lenskart Air,LA E16239,eyeframe,536,0.0,1571
https://www.lenskart.com/lenskart-air-la-e14868-c1-eyeglasses.html,Gunmetal,Medium,135 mm,Lenskart Air,LA E14868,eyeframe,9684,5.0,2279
https://www.lenskart.com/vincent-chase-vc-e14715-c2-eyeglasses.html,Gunmetal,Medium,137 mm,Vincent Chase,VC E14715,eyeframe,4061,4.85,784
https://www.lenskart.com/john-jacobs-jj-s15574-c2-sunglasses.html,Pink,Extra Wide,144 mm,John Jacobs,JJ S15574,sunglasses,1615,3.0,115
https://www.lenskart.com/john-jacobs-jj-e15828-c3-eyeglasses.html,Silver,Wide,140 mm,John Jacobs,JJ E15828,eyeframe,1224,0.0,1200
https://www.lenskart.com/john-jacobs-jj-e15287-c1-eyeglasses.html,Gold,Extra Wide,143 mm,John Jacobs,JJ E15287,eyeframe,4610,5.0,1127
https://www.lenskart.com/vincent-chase-vc-e16653-c3-eyeglasses.html,Black,Narrow,132 mm,Vincent Chase,VC E16653,eyeframe,492,0.0,1391
https://www.lenskart.com/vincent-chase-vc-s15768-c1-sunglasses.html,Gold,Extra Wide,148 mm,Vincent Chase Polarized,VC S15768,sunglasses,2763,0.0,18
https://www.lenskart.com/vincent-chase-vc-s16530-c1-sunglasses.html,Gold,Narrow,132 mm,Vincent Chase,VC S16530,sunglasses,515,0.0,817
https://www.lenskart.com/lenskart-air-la-e11483-l-c3-eyeglasses.html,Blue,Wide,138 mm,Lenskart Air Online,LA E11483-L,eyeframe,4913,4.7,132
https://www.lenskart.com/vincent-chase-vc-e11803-c14-eyeglasses.html,Pink,Narrow,131 mm,Vincent Chase,VC E11803,eyeframe,1671,0.0,317
