id,product_url,color,size,width,brand_name_en,model_name,classification,purchaseCount,avgRating,qty,wishlistCount,market_price,lenskart_price,offerName,subCollection,subCollectionId
146012,https://www.lenskart.com/lenskart-air-la-e13517-c2-eyeglasses.html,Transparent,Medium,134 mm,Lenskart Air,LA E13517,eyeframe,77095,4.65,3977,2904,1700,1700,VCEYE,AIR ESSENTIALS,26802.0
216521,https://www.lenskart.com/lenskart-hustlr-la-e15415-c1-eyeglasses.html,Ocean Blue,Medium,139 mm,Lenskart Hustlr,LA E15417-W,eyeframe,5164,0.0,2335,0,1700,1700,LKBLUCE,Lenskart Hustlr,26161.0
217261,https://www.lenskart.com/lenskart-hustlr-lh-e16985-w-c5-eyeglasses.html,Transparent,Medium,139 mm,Lenskart Hustlr,LH E16985-W,eyeframe,2602,0.0,2173,0,1700,1700,VCEYE,Hustlr ACE,27732.0
216712,https://www.lenskart.com/lenskart-la-e15417-w-c7-eyeglasses.html,Pink,Medium,139 mm,Lenskart Hustlr,LA E15417-W,eyeframe,2939,0.0,1401,0,1700,1700,VCEYE,Lenskart Hustlr,26161.0
201333,https://www.lenskart.com/lenskart-air-la-e13068-c6-eyeglasses.html,Grey,Medium,134 mm,Lenskart Air,LA E13068,eyeframe,26362,4.6,949,0,1700,1700,VCEYE,Refresher_Apr23,26925.0
201315,https://www.lenskart.com/vincent-chase-vc-e13634-c7-eyeglasses.html,Silver Black,Medium,134 mm,Vincent Chase,VC E13634,eyeframe,8586,4.75,3441,0,1700,1700,VCEYE,SLEEK STEEL,25036.0
211383,https://www.lenskart.com/lenskart-air-la-e16153-c-c3-eyeglasses.html,Blue,Medium,135 mm,Lenskart Air,LA E16153,eyeframe,2131,0.0,670,0,1700,1700,VCEYE,BLUE BILLION,26601.0
147507,https://www.lenskart.com/vincent-chase-vc-e13037-full-rim-rect-way-acetate-crystal-blue-transparent-c6-eyeglasses.html,Transparent,Medium,136 mm,Vincent Chase,VC E13037,eyeframe,62405,4.5,10717,8886,1700,1700,VCEYE,Classic Acetate,24103.0
208951,https://www.lenskart.com/lenskart-hustlr-la-e15417-c15-eyeglasses.html,Navy,Medium,139 mm,Lenskart Hustlr,LA E15417-W,eyeframe,21483,4.6,11921,0,1700,1700,VCEYE,Lenskart Hustlr,26161.0
217202,https://www.lenskart.com/lenskart-hustlr-lh-e16985-w-c2-eyeglasses.html,Green,Medium,139 mm,Lenskart Hustlr,LH E16985-W,eyeframe,2263,0.0,2223,0,1700,1700,VCEYE,Hustlr ACE,27732.0
215389,https://www.lenskart.com/vincent-chase-vc-e16665-c2-eyeglasses.html,Green,Medium,137 mm,Vincent Chase,VC E16665,eyeframe,661,0.0,1098,0,1700,1700,VCEYE,In Bloom,27752.0
217201,https://www.lenskart.com/lenskart-hustlr-lh-e16985-w-c1-eyeglasses.html,Blue,Medium,139 mm,Lenskart Hustlr,LH E16985-W,eyeframe,2525,0.0,1743,0,1700,1700,VCEYE,Hustlr ACE,27732.0
149607,https://www.lenskart.com/vincent-chase-vc-e14211-c1-eyeglasses.html,Black,Medium,137 mm,Vincent Chase,VC E14211,eyeframe,17863,4.7,226,8286,1700,1700,VCEYE,SLEEK STEEL,25036.0
217431,https://www.lenskart.com/lenskart-air-la-e15417-wc4-eyeglasses.html,Green,Medium,139 mm,Lenskart Hustlr,LA E15417-W,eyeframe,1606,0.0,1847,0,1700,1700,VCEYE,Lenskart Hustlr,26161.0
209750,https://www.lenskart.com/lenskart-air-la-e15844-c4-eyeglasses.html,Brown,Wide,138 mm,Lenskart Air,LA E15844,eyeframe,7338,5.0,2125,0,1700,1700,VCEYE,Matte Essential,26751.0
137975,https://www.lenskart.com/lenskart-air-la-e13033-c2-eyeglasses.html,Blue,Medium,135 mm,Lenskart Air,LA E13069,eyeframe,79635,4.6,2619,10980,1700,1700,VCEYE,AIR FUSION,26803.0
215771,https://www.lenskart.com/vincent-chase-vc-e16696-c2-eyeglasses.html,Gunmetal,Medium,137 mm,Vincent Chase,VC E16696,eyeframe,3327,0.0,171,0,1700,1700,VCEYE,Patriot,26582.0
145567,https://www.lenskart.com/vincent-chase-vc-e13634-full-rim-rectangle-metal-steel-escobar-c1-eyeglasses.html,Black,Medium,135 mm,Vincent Chase,VC E13634,eyeframe,39014,4.75,3452,3205,1700,1700,VCEYE,SLEEK STEEL,25036.0
207481,https://www.lenskart.com/lenskart-hustlr-la-e15417-c7-eyeglasses.html,Blue Sky,Medium,139 mm,Lenskart Hustlr,LA E15417-W,eyeframe,183807,4.6,16229,0,1700,1700,VCEYE,Lenskart Hustlr,26161.0
145996,https://www.lenskart.com/lenskart-air-la-e11821-full-rim-wayfarer-stainless-steel-c1-eyeglasses.html,Transparent,Medium,137 mm,Lenskart Air,LA E11821,eyeframe,124910,4.7,7674,25348,1700,1700,VCEYE,AIR FUSION,26803.0
208956,https://www.lenskart.com/lenskart-hustlr-la-e15417-c20-eyeglasses.html,Greystone,Medium,139 mm,Lenskart Hustlr,LA E15417-W,eyeframe,50388,4.6,9746,0,1700,1700,VCEYE,Lenskart Hustlr,26161.0
217022,https://www.lenskart.com/vincent-chase-ls-e15666-c6-eyeglasses.html,Grey,Medium,137 mm,Lenskart STUDIO,LS E15666,eyeframe,2792,0.0,843,0,2000,2000,,The Kjo Collection,27771.0
206266,https://www.lenskart.com/vincent-chase-vc-e15347-c1-eyeglasses.html,Blue,Medium,137 mm,Vincent Chase,VC E15347,eyeframe,4956,0.0,2507,0,1700,1700,VCEYE,Brow Bars,26083.0
209728,https://www.lenskart.com/vincent-chase-vc-e15838-c1-eyeglasses.html,Gunmetal,Medium,134 mm,Vincent Chase,VC E15838,eyeframe,750,0.0,1809,0,2000,2000,VCEYE,Rimless Edit,27022.0
206824,https://www.lenskart.com/lenskart-hustlr-la-e15417-c2-eyeglasses.html,Amber,Medium,139 mm,Lenskart Hustlr,LA E15417-W,eyeframe,45753,4.6,1739,0,1700,1700,VCEYE,Lenskart Hustlr,26161.0
205373,https://www.lenskart.com/lenskart-lk-e15176-c1-eyeglasses.html,Gunmetal,Medium,136 mm,Vincent Chase,VC E15176,eyeframe,4049,0.0,219,0,2000,2000,VCEYE,SLEEK STEEL,25036.0
211943,https://www.lenskart.com/lenskart-air-la-e16240-c1-eyeglasses.html,Blue,Medium,136 mm,Lenskart Air,LA E16240,eyeframe,1252,0.0,543,0,1700,1700,VCEYE,Dopamine Brights,27611.0
211448,https://www.lenskart.com/lenskart-air-la-e16169-c1-eyeglasses.html,Purple,Medium,136 mm,Lenskart Air,LA E16169,eyeframe,2073,0.0,953,0,1700,1700,VCEYE,Fusion Pro grip,27211.0
211920,https://www.lenskart.com/vincent-chase-vc-e16233-c1-eyeglasses.html,Blue,Medium,134 mm,Vincent Chase,VC E16233,eyeframe,1171,0.0,1475,0,1700,1700,VCEYE,New Millennials,27531.0
207671,https://www.lenskart.com/lenskart-hustlr-la-e15417-c10-eyeglasses.html,Dark Night,Medium,139 mm,Lenskart Hustlr,LA E15417-W,eyeframe,47056,4.6,18833,0,1700,1700,VCEYE,Lenskart Hustlr,26161.0
210157,https://www.lenskart.com/lenskart-air-la-e14961-c4-eyeglasses.html,Green,Medium,132 mm,Lenskart Air,LA E14961,eyeframe,2361,0.0,175,0,1700,1700,VCEYE,Air Flex,26473.0
209774,https://www.lenskart.com/lenskart-air-la-e15851-c1-eyeglasses.html,Grey,Medium,137 mm,Lenskart Air,LA E15851,eyeframe,3560,0.0,729,0,3000,3000,VCEYE,Switch Grip,27102.0
211524,https://www.lenskart.com/vincent-chase-vc-e16198-c1-eyeglasses.html,Blue,Medium,136 mm,Vincent Chase,VC E16198,eyeframe,863,0.0,1162,0,2000,2000,VCEYE,Refreshers1_Jan24,27625.0
206828,https://www.lenskart.com/lenskart-hustlr-la-e15417-c6-eyeglasses.html,Monza Red,Medium,139 mm,Lenskart Hustlr,LA E15417-W,eyeframe,13046,4.6,3688,0,1700,1700,VCEYE,Lenskart Hustlr,26161.0
206734,https://www.lenskart.com/lenskart-air-la-e15395-c2-eyeglasses.html,Blue,Medium,134 mm,Lenskart Air,LA E15395,eyeframe,6606,4.0,2,0,1700,1700,VCEYE,Urban Edit,26432.0
206641,https://www.lenskart.com/vincent-chase-vc-e15380-c2-eyeglasses.html,Transparent,Medium,135 mm,Vincent Chase,VC E15380,eyeframe,4751,0.0,93,0,1700,1700,VCEYE,Crystal clear,25014.0
206269,https://www.lenskart.com/vincent-chase-vc-e15348-c2-eyeglasses.html,Blue,Medium,137 mm,Vincent Chase,VC E15348,eyeframe,5117,0.0,1356,0,1700,1700,VCEYE,Brow Bars,26083.0
206036,https://www.lenskart.com/lenskart-air-la-e15303-c2-eyeglasses.html,Transparent Blue,Medium,134 mm,Lenskart Air,LA E15303,eyeframe,5448,5.0,1115,0,1700,1700,VCEYE,Float Pop 2.0,26381.0
201332,https://www.lenskart.com/lenskart-air-la-e13068-c5-eyeglasses.html,Grey,Medium,134 mm,Lenskart Air,LA E13068,eyeframe,11603,4.6,1478,0,1700,1700,VCEYE,Refresher_Mar23,26922.0
150599,https://www.lenskart.com/lenskart-air-la-e14368-c1-eyeglasses.html,Grey,Medium,135 mm,Lenskart Air,LA E14368,eyeframe,28994,4.65,2336,3337,1700,1700,VCEYE,Silicon Temple,27902.0
210773,https://www.lenskart.com/lenskart-air-la-e16026-c3-eyeglasses.html,Grey,Narrow,131 mm,Lenskart Air,LA E16026,eyeframe,3117,0.0,17,0,2000,2000,VCEYE,Electro Punk,27181.0
146615,https://www.lenskart.com/vincent-chase-vc-e13784-c1-eyeglasses.html,Purple,Medium,135 mm,Vincent Chase,VC E13784,eyeframe,60914,4.6,1866,14578,1700,1700,VCEYE,SLEEK STEEL,25036.0
146617,https://www.lenskart.com/vincent-chase-vc-e13785-c1-eyeglasses.html,Gold,Medium,134 mm,Vincent Chase,VC E13785,eyeframe,53568,4.75,4196,11799,1700,1700,VCEYE,SLEEK STEEL,25036.0
137974,https://www.lenskart.com/lenskart-air-la-e13033-c1-eyeglasses.html,Black,Medium,135 mm,Lenskart Air,LA E13069,eyeframe,97880,4.6,2029,22506,1700,1700,VCEYE,AIR FUSION,26803.0
137971,https://www.lenskart.com/lenskart-air-la-e13032-c1-eyeglasses.html,Black,Medium,134 mm,Lenskart Air,LA E13068,eyeframe,78789,4.6,2367,20552,1700,1700,VCEYE,AIR FUSION,26803.0
215394,https://www.lenskart.com/vincent-chase-vc-e16668-c2-eyeglasses.html,Pink,Medium,137 mm,Vincent Chase,VC E16668,eyeframe,1001,0.0,1013,0,1700,1700,VCEYE,In Bloom,27752.0
211607,https://www.lenskart.com/lenskart-air-la-e16207-c1-eyeglasses.html,Black,Medium,136 mm,Lenskart Air,LA E16207,eyeframe,1025,0.0,1295,0,4000,4000,VCEYE,Air Memory,27781.0
142515,https://www.lenskart.com/john-jacobs-jj-e13343-c2-eyeglasses.html,Black,Medium,136 mm,John Jacobs,JJ E13343,eyeframe,43011,4.6,844,3172,3500,3500,JJBOGO,Rich Acetate,26361.0
201618,https://www.lenskart.com/vincent-chase-vc-e14973-c2-eyeglasses.html,Brown,Narrow,132 mm,Vincent Chase,VC E14973,eyeframe,30723,4.75,2500,0,1700,1700,VCEYE,Blend Edit,25041.0
201630,https://www.lenskart.com/vincent-chase-vc-e14977-c2-eyeglasses.html,Brown,Narrow,133 mm,Vincent Chase,VC E14977,eyeframe,36430,4.8,716,0,1700,1700,VCEYE,Blend Edit,25041.0
146023,https://www.lenskart.com/lenskart-air-la-e13520-c2-eyeglasses.html,Grey,Wide,140 mm,Lenskart Air,LA E13520,eyeframe,63397,4.7,882,9749,1700,1700,VCEYE,AIR ESSENTIALS,26802.0
150581,https://www.lenskart.com/lenskart-air-la-e14362-c1-eyeglasses.html,Grey,Wide,140 mm,Lenskart Air,LA E14362,eyeframe,64074,4.75,4457,2027,1700,1700,VCEYE,Essential Edit,25024.0
215762,https://www.lenskart.com/vincent-chase-vc-e16689-c2-eyeglasses.html,Grey,Narrow,133 mm,Vincent Chase,VC E16692,eyeframe,439,0.0,1642,0,1700,1700,VCEYE,Refreshers1_Feb24,27852.0
213119,https://www.lenskart.com/lenskart-airr-la-e16496-cc3-eyeglasses.html,Gold,Wide,138 mm,Lenskart Air,LA E16496,eyeframe,688,0.0,738,0,4000,4000,VCEYE,Air Memory,27781.0
136174,https://www.lenskart.com/john-jacobs-jj-e10235-c7-eyeglasses.html,Transparent,Medium,135 mm,John Jacobs,JJ E10235,eyeframe,97227,4.45,2200,16093,3500,3500,,Rich Acetate,26361.0
137935,https://www.lenskart.com/vincent-chase-vc-e13029-c2-eyeglasses.html,Brown,Medium,136 mm,Vincent Chase,VC E13029,eyeframe,64388,4.8,1995,2799,1700,1700,VCEYE,Classic Acetate,24103.0
146618,https://www.lenskart.com/vincent-chase-vc-e13785-c2-eyeglasses.html,Gunmetal,Medium,134 mm,Vincent Chase,VC E13785,eyeframe,66327,4.75,8648,5965,1700,1700,VCEYE,SLEEK STEEL,25036.0
204186,https://www.lenskart.com/lenskart-air-la-e15019-c3-eyeglasses.html,Transparent,Medium,137 mm,Lenskart Air,LA E15019,eyeframe,36322,4.65,3540,0,1700,1700,VCEYE,Air Play,26121.0
150573,https://www.lenskart.com/lenskart-air-la-e14360-c1-eyeglasses.html,Grey,Medium,136 mm,Lenskart Air,LA E14360,eyeframe,66726,4.8,4370,4822,1700,1700,VCEYE,Essential Edit,25024.0
215363,https://www.lenskart.com/vincent-chase-vc-e16649-c3-eyeglasses.html,Blue,Medium,136 mm,Vincent Chase,VC E16649,eyeframe,547,0.0,1359,0,2000,2000,VCEYE,Future Classics,27571.0
