id,alt_store_name_catch,address_full,address_state,store_phone,store_email,business_hours_openi,business_hours_closi,averageRating,totalReviews,pincode
772,Vizianagaram,"20-20-103, Plot No103, Madhuvan Towers, Krishnarajapuram, Near Spencers, Vizianagaram, Andhra Pradesh, 535002",Andhra Pradesh,9392738592,vizianagaram.andhrapradesh@lenskartstore.com,11:00 AM,09:00 PM,4.9,1346,535002
7,Ramnagar,"Shop No 10/4/16/2, Upper Ground Floor, Uplands Road, Asilmetta Junction, Ramnagar, Beside Hotel Meghalaya, Visakhapatnam, Andhra Pradesh, 530003",Andhra Pradesh,9177647575,lenskart.vizag@gmail.com,11:00 AM,09:30 PM,4.8,5726,530003
1032,Kakinada,"20-1-34, Subash Road, Opposite Super Bazar, Kakinada, Andhra Pradesh, 533001",Andhra Pradesh,9848279279,kakinada.andhrapradesh@lenskartstore.com,11:00 AM,09:00 PM,4.9,1200,533001
779,Eluru,"24B-1-46/1, Vijaya Vihar Centre, Vijaya Vihar Centre, Opposite Gv Mall, Eluru, Andhra Pradesh, 534002",Andhra Pradesh,9097346346,eluru.andhrapradesh@lenskartstore.com,11:00 AM,09:00 PM,4.8,722,534002
23,Shanthi Nagar,"Shop No 23/7/131, Shanthi Nagar, Mr Palli Circle, Tirupati, Andhra Pradesh, 517502",Andhra Pradesh,6309868263,lenskart.tirupati@gmail.com,11:00 AM,09:00 PM,4.9,2363,517502
1306,Gajuwaka,"10-1-128/7, 60 Feet Wide Road, Mehar Nagar, Gajuwaka, Visakhapatnam, Andhra Pradesh, 530026",Andhra Pradesh,9502706803,Gajuwaka.vizag@lenskartstore.com,11:00 AM,09:30 PM,4.9,2946,530026
1311,Brodipet,"45029, Brodipet, Brodipet, Opposite Vajram Hotel, Guntur, Andhra Pradesh, 522002",Andhra Pradesh,8074000799,guntur85.andhrapradesh@lenskartstore.com,11:00 AM,09:00 PM,4.9,1011,522002
1312,Nandyal Road Kurnool,"D No 87/1133, Nandyal Road, Sree Rajeswari Nagar, Sree Rajeswari Nagar, Kurnool, Andhra Pradesh, 518002",Andhra Pradesh,9346274788,kurnool.andhrapradesh@lenskartstore.com,11:00 AM,09:00 PM,5.0,2151,518002
1829,Satyanarayanapuram,"21-3-7, Bagath Singh Road, Govt Press, Mutyalampadu Vijayawada, Satyanarayanapuram, Andhra Pradesh, 520011",Andhra Pradesh,8341004766,Satyannarayanapuram.hyderabad@lenskartstore.com,10:30 AM,09:30 PM,4.9,369,520011
1833,Guru Nanak Colony,"59A-20-2, Survey No 134/6, Extent 443.33, South Plot No 29, East Plot No 23 West, Plot No 21, Guru Nanak Colony, Vijayawada, Andhra Pradesh, 520007",Andhra Pradesh,8341001255,Gurunanakcolony.vijayawada@lenskartstore.com,10:30 AM,09:30 PM,4.9,594,520007
1580,Vijayawada,"H No 27-1-86, Satya, Estates, Muddha Subaiah Street, Lenin Center, Governpet, Elur Road, Patamata, Near Ntr Circle, Vijayawada, Andhra Pradesh, 520010",Andhra Pradesh,8522888402,patamata.vijayawada@lenskartstore.com,10:30 AM,09:30 PM,4.8,432,520010
1603,Tenali,"Ground Floor, Old Badari Shop, Bose Road, Tenali, Andhra Pradesh, 522201",Andhra Pradesh,8644232655,tenali.andhrapradesh@lenskartstore.com,11:00 AM,09:00 PM,4.9,565,522201
836,VV Mahal Road,"Door No 18/1/635, Ground Floor Bhavani Nagar, V V Mahal Road, Near Municipal Office, Tirupati, Andhra Pradesh, 517501",Andhra Pradesh,8772955990,tirupatichittoor.andhrapradesh@lenskartstore.com,11:00 AM,09:00 PM,4.9,2633,517501
76,"MG Road, Vijayawada","Shop No 40/1/50, Gvr Complex, Chandramouli Puram, Mg Road, Opposite M&M, Vijayawada, Andhra Pradesh, 520010",Andhra Pradesh,8790721572,benzcircle.vijayawada@lenskart.mobi,11:00 AM,09:30 PM,4.7,1934,520010
81,Butchirajupalem NAD Junction,"D No 58/1/373, Ground Floor, Main Road, Butchirajupalem Nad Junction, Near St. Thomas Church, Visakhapatnam, Andhra Pradesh, 530027",Andhra Pradesh,8106017474,vadim.vizag@lenskart.mobi,11:00 AM,09:30 PM,4.9,2445,530027
1879,Seetarapuram,"DNo 143, Revenue Ward 9, Municipal Ward No 23, 262, Assesment No 23029 A, Gunadala Krishana, Seetaraampuram, Elur Road, Vijayawada, Andhra Pradesh, 520002",Andhra Pradesh,8341006766,Vijayawda.seetharampura@lenskartstore.com,10:30 AM,09:30 PM,4.9,407,520002
90,R S Road,"Shop No 40/581/A, Sv Complex, Rs Road, Prakash Nagar, Opposite Tj Shopping Mall, Kurnool, Andhra Pradesh, 518004",Andhra Pradesh,9603466031,karnool.ap@lenskart.mobi,11:00 AM,09:00 PM,4.9,1815,518004
91,Tilak Road,"Shop No 2G, Srihari Soudha Building, DNo 79/2/4/4, Tilak Road, Opposite Karur Vysya Bank, Rajahmundry, Andhra Pradesh, 533103",Andhra Pradesh,7095059807,rajahmundry.ap@lenskart.mobi,11:00 AM,09:00 PM,4.8,1634,533103
2147,GT Road VRC Centre,"Shop No 17/288/1, Ground Floor, Keerthy Towers, Grand Trunk Road, VRC Centre, Nellore, Andhra Pradesh, 524001",Andhra Pradesh,8614019013,Nelloregtroad.tirupati@lenskartstore.com,10:30 AM,09:30 PM,4.9,414,524001
1124,"Vizag, Seethammadara","50-111-1, Seethammadhara Road, Tpt Colony, Balayya Sastri Layout, Seethammadara, Visakhapatnam, Andhra Pradesh, 530013",Andhra Pradesh,9347210695,Seethammadara.vizag@lenskartstore.com,11:00 AM,09:30 PM,5.0,2775,530013
869,Guntur,"No 12/25/46/A, Revenue Ward 27, Assessment No, 76262, 76263, Ground Floor, Kothapet Main Road, Kothapet, Opposite Sudarshan Eye Hospital, Guntur, Andhra Pradesh, 522001",Andhra Pradesh,8328578545,guntur.andhrapradesh@gmail.com,11:00 AM,09:30 PM,4.9,1311,522001
1382,Madanapalle,"4-55,56, Modem Towers, Patel Road, Annamayya, Madanapalle, Andhra Pradesh, 517325",Andhra Pradesh,9381002802,madanapalle03.andhrapradesh@lenskartstore.com,11:00 AM,09:00 PM,4.9,1498,517325
2152,Vedayapalam,"D No 26-2, Survey No 1940, Plot No 55, Chaitanyapuri, Vedayapalem, Revenue Ward No 26 II, Nellore, Andhra Pradesh, 524004",Andhra Pradesh,8614018513,Nellorevedayapalem.tirupathi@lenskartstore.in,10:30 AM,09:30 PM,4.9,417,524004
2155,Mahanadu Road,"H No 52-1/1-1B, Ground Floor, Veternory Colony, NH 5 Service Road, Revenue Ward 2, Mahanadu Road, Vijayawada, Andhra Pradesh, 520008",Andhra Pradesh,8951052763,Mahanaduroad.vijayawada@lenskartstore.com,10:30 AM,09:30 PM,4.9,180,520008
878,Ongole,"Dno 5-417, Kurnool Road, Kurnool Road, Opposite Chimakurthy Eye Hospital, Ongole, Andhra Pradesh, 523001",Andhra Pradesh,9110362425,ongole.andhrapradesh@lenskartstore.com,11:00 AM,09:00 PM,4.9,1697,523001
123,"Sector 6, MVP Colony","2/30/26/1, Jami Function Hall, Sector 6, Mvp Colony, Near Mg Cancer Hospital, Visakhapatnam, Andhra Pradesh, 530017",Andhra Pradesh,7416582999,Mvpcokony.vizag@dealskart.mobi,11:00 AM,09:00 PM,4.8,1148,530017
139,Lakshmipuram,"H No 8/7 & 8/8, Anand Nilayam, Main Road, Lakshmipuram, Near Ntr Municipal Stadium, Guntur, Andhra Pradesh, 522007",Andhra Pradesh,7680959118,guntur.ap@lenskart.mobi,11:00 AM,09:30 PM,4.8,1889,522007
909,Daba Gardens,"Shop No G1, Door No 30-15-158, City Plaza, Daba Gardens, Opposite Sharma Sports, Visakhapatnam, Andhra Pradesh, 530020",Andhra Pradesh,8143803817,dabagarden.vizag@lenskartstore.com,11:00 AM,09:30 PM,4.9,1647,530020
1424,Kavali,"D No 10-15-35, Abm Compound Area, Kavali Bit 2, Shop No G-21 & F-21, Survey Number 1080/3-1, 1080/2, Kavali, Kavali, Andhra Pradesh, 524201",Andhra Pradesh,9885991298,Kavali.andhrapradesh@lenskartstore.com,11:00 AM,09:00 PM,4.9,939,524201
1434,Rajahmundry,"46-7-33, Danavipeta, Danavipeta, Rajahmundry, Andhra Pradesh, 533103",Andhra Pradesh,7396661451,Danavipet.rajahmundry@lenskartstore.com,11:00 AM,09:30 PM,4.9,2139,533103
1182,Kadapa,"Ground Floor, PP Sri Chaitanya School, Rajiv Park Road, Next To More Super Market, Kadapa, Andhra Pradesh, 516001",Andhra Pradesh,6305892292,kadapa.andhrapradesh@lenskartstore.com,11:00 AM,09:00 PM,4.9,2459,516001
678,Dargamitta,"No 24-3-186, Grand Truck Road, Dargamitta, Near Kims Hospital, Nellore, Andhra Pradesh, 524003",Andhra Pradesh,9346620093,sriaarushimarketin.nellore@lenskartstore.com,11:00 AM,09:00 PM,4.8,975,524003
2214,Ramavarapadu,"D.No 10-157, Tankasala Vari Centre, Beside HDFC Bank, Enikepadu Complex, Ramavarapadu, Vijayawada, Andhra Pradesh, 521108",Andhra Pradesh,8664066825,Vijayawada.ramvarupadu@lenskartstore.com,10:30 AM,09:30 PM,5.0,57,521108
167,"RTC Bus Stand Road, Anantapur","13-3-338 B, Ground Floor, Amar Inn Lodge, Bus Stand Road2, Srinivas Nagar, Anantapur, Andhra Pradesh, 515001",Andhra Pradesh,8554292260,anantpurbs.anantpur@lenskartstore.com,11:00 AM,09:00 PM,4.9,2144,515001
1196,Vijayawada,"H No 76-8-5/3, Survey No 66/1, Plot No 4, Bhavanipuram, Crombay Road No 1, Bhagatsingh Road, Vijayawada Town, Vijayawada Municipal Corporation, Bhavanipuram, Vijayawada, Andhra Pradesh, 520003",Andhra Pradesh,8522888242,Bhavanipuram.vijaywada@lenskartstore.com,10:30 AM,09:30 PM,4.8,732,520003
697,Bhimavaram,"27-1-4, J P Road, West Godavari, Next To Srinivasa Hospital, Bhimavaram, Andhra Pradesh, 534202",Andhra Pradesh,9577799699,bhimavaram.andhrapradesh@lenskartstore.com,11:00 AM,09:00 PM,4.8,1320,534202
1484,Proddatur,"Door #8/702, Gandhi Road, Opposite Posinsa Compound, Proddatur, Andhra Pradesh, 516360",Andhra Pradesh,7386573911,proddatur01.andhrapradesh@lenskartstore.com,11:00 AM,09:00 PM,4.9,2432,516360
2253,Kurmannapalem,"Door No 31-27-66, Shop No 3, Ground Floor, Beside Indusind ATM, Kurmanna Palem, Revenue Ward 58, Visakhapatnam, Andhra Pradesh, 530046",Andhra Pradesh,8914423851,kurmannapalem16.visakhapatnam@lenskartstore.com,10:30 AM,09:30 PM,5.0,145,530046
718,Meghana Mall,"Shop No 46,15/29, Ground Floor, Meghana Mall, Dwarka Nagar, High Street, Near Diamond Park, Visakhapatnam, Andhra Pradesh, 530016",Andhra Pradesh,8019522948,dwarkanagar.visakhapatnam@lenskartstore.com,11:00 AM,09:30 PM,4.9,1997,530016
1230,Maddilapalem,"No 9-1-224/1, T S No 1036/2, Waltair Ward, Cbm Compound, Maddilapalem, Rama Talkies Road, Visakhapatnam, Andhra Pradesh, 530003",Andhra Pradesh,9030938595,maddilapalem.vizag@lenskartstore.com,11:00 AM,09:30 PM,4.9,3204,530003
981,Marripalem,"Door No 36-46-69/4, Kancharapalem Main Road, Marripalem, Near Rama Rao Hospital, Visakhapatnam, Andhra Pradesh, 530008",Andhra Pradesh,7780568634,marripalem.vizag@lenskartstore.com,11:00 AM,09:30 PM,5.0,2182,530008
982,Rajahmundry,"31-1-30, Janda Panja Road, Near Ajantha Hotel, Rajahmundry, Andhra Pradesh, 533101",Andhra Pradesh,8885343877,RAJAHMUNDRY.ANDHRAPRADESH@LENSKARTSTORE.COM,11:00 AM,09:00 PM,4.8,444,533101
2009,Sujathanagar,"7-183/1/1, Survey No 145/5, Opposite Reliance Smart Point, Ratnagiri Nagar Greater, Visakhapatnam, Andhra Pradesh, 530051",Andhra Pradesh,8977860503,Sujathanagar.visakhapatnam@lenskartstore.com,10:30 AM,09:30 PM,,,530051
2268,Gujjanagulla,"Door No 4-18-37/1, 7th line, Chandramouli Nagar, Beside Platinum Cinemas, Gujjanagulla, Guntur, Andhra Pradesh, 522007",Andhra Pradesh,8296410646,Gujjnagundaguntur.vijaywada@lenskartstore.com,09:30 AM,09:30 PM,4.9,17,522007
1252,Jagdamba Vizag,"Ground Floor, Venu Regency, Ram Nagar, Jagdamba, Maddilapalem, Visakhapatnam, Andhra Pradesh, 530003",Andhra Pradesh,9059017663,Jagadamba.vizag@lenskartstore.com,11:00 AM,09:30 PM,4.9,1772,530003
